,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
557,磷酸三甲苯酯,C21H21O4P,368.37,1330-78-5,磷酸三甲苯酯,无色或淡黄色的透明油状液体,无资料,-33,410,1.16(水=1),12.7(H{2^}=1)(空气=1),1.33(265℃)(kPa),None,无资料,5.11,210,385,None,0.4(计算值),1.4(估算值),不溶于水，溶于乙醇、苯等多数有机溶剂,用作塑料增塑剂、喷漆增塑剂,稳定
558,氢氧化铍,Be(OH)2,43.03,13327-32-7,氢氧化铍,白色或黄色粉末,无意义,138(分解),无资料,1.92(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于水，溶于酸、碱,用于核技术，及制取氧化铍等,稳定
559,氢,H2,2.01,1333-74-0,氢,无色无臭气体。,None,-259.2,-252.8,0.07(-252℃)(水=1),0.07(空气=1),13.33(-257.9℃)(kPa),-240,1.3,None,无意义,400,241,4.1,74.1,不溶于水，不溶于乙醇、乙醚。,用于合成氨和甲醇等，石油精制，有机物氢化及作火箭燃料。,None
560,三氧化铬[无水],CrO3,100,1333-82-0,三氧化铬,暗红色或暗紫色斜方结晶，易潮解,无意义,190～197,分解,2.70(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、硫酸、硝酸、乙醇、乙醚、乙酸、丙酮,用于电镀工业、医药工业、印刷工业、鞣革和织物媒染,稳定
561,氟化氢钠,None,None,1333-83-1,None,无色或白色粉末，有强烈酸味。,None,(分解),None,2.08(水=1),2.14(空气=1),None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水，不溶于醇。,用于铍的精炼、雕刻玻璃、铸造工业，也用作焊接熔剂、焊条的外皮及防腐剂。,None
562,氧氰化汞[钝化的],None,None,1335-31-5,None,白色至微灰褐色结晶或粉末。,None,None,None,4.44(水=1),None,None,无意义,无意义,None,无意义,None,None,None,None,微溶于水，溶于热水。,用于医药工业。,None
563,"1,2,3,4-四氯化萘",None,None,1335-88-2,None,无色结晶。,None,182,None,None,None,None,None,None,None,None,None,None,None,None,不溶于水，微溶于乙醇、醚，易溶于热醇。,用于有机合成。,None
564,氨溶液,NH3·H2O,35.06,1336-21-6,氨溶液,无色透明液体，有强烈的刺激性臭味,11.7(1%溶液),-58(25%溶液),38(25%溶液),0.91(25%溶液)(水=1),0.6～1.2(空气=1),6.3(25%溶液，20℃)(kPa),None,无资料,-2.66,无意义,无意义,None,无意义,无意义,溶于水、乙醇,用于制药工业，纱罩业，晒图，农业施肥等,稳定
565,"过氧化甲乙酮[在溶液中,含量≤45%,含有效氧≤10%]",None,None,1338-23-4,None,无色透明液体，有特殊臭味。,None,<-20,None,1.09(水=1),None,None,None,None,None,50(℃),177,None,None,None,微溶于水、烃类，溶于醇、醚、酯。,用于树脂制造等。,None
566,α-萘胺,C10H9N,143.08,134-32-7,α-萘胺,纯品为无色结晶或块状，有恶臭，易升华,无意义,50,300.8,1.13(水=1),4.93(空气=1),0.13(104.3℃)(kPa),None,无资料,2.25,157.2(闭杯),460,-5281.4,无资料,无资料,不溶于水，溶于乙醇、乙醚、氯仿,用作染料中间体，以及用于医药工业,稳定
567,氟化铯,CsF,151.91,13400-13-0,氟化铯,无色立方结晶或粉末，有潮解性,无意义,682～703,1251,4.12(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,易溶于水，溶于甲醇，不溶于吡啶、二噁烷,用于制含氟异氰酸酯、催化剂等,稳定
568,氟化氢铵,None,None,1341-49-7,None,"白色透明晶体, 略带酸味, 易潮解。",None,125.6,None,1.5(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,易溶于水，微溶于醇。,用于炼铍、制电焊条、铸钢、木材防腐剂等。,None
569,亚磷酸二氢铅,None,None,1344-40-7,None,白色至微褐色粉末。有毒。相对密度(水=1)：6.94。溶于盐酸、硝酸，不溶于水。200℃左右变成灰黑色，450℃左右变成黄色，具有持续还原力，是氧化防止剂。耐紫外线性能、耐寒性、耐老化性均相当优良。,None,None,None,(水=1)：6.94(水=1),None,None,None,None,None,None,None,None,None,None,None,主要用作合成材料的化学助剂。,None
570,碘酸铵,NH4IO3,192.94,13446-09-8,碘酸铵,白色结晶或粉末,无意义,150(分解),无资料,3.31(21℃)(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,微溶于冷水，不溶于热水,用作氧化剂和分析试剂,稳定
571,过碘酸铵,NH4IO4,209,13446-11-2,过碘酸铵,无色正方形结晶。,None,(爆炸),None,3.056(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,微溶于水。,用作氧化剂。,None
572,亚硝酸铵,None,None,13446-48-5,None,白色至黄色结晶。,None,60～70(分解爆炸),None,1.69(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水、稀。,是氨氧化过程的中间体。,None
573,氟化铷,RbF,104.47,13446-74-7,氟化铷,无色结晶，有吸湿性,无意义,775,1410,3.56(水=1),无资料(空气=1),0.13(920℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，不溶于乙醇、乙醚、液氨，溶于氢氟酸,用作试剂、制牙膏等,稳定
574,三硫化锑,Sb2S3,339.68,1345-04-6,三硫化锑,红色粉末,无意义,550～563,1150,4.62(水=1),无资料(空气=1),None,None,无资料,无资料,无资料,无资料,None,无资料,无资料,不溶于水，溶于浓盐酸、硫酸,用于制颜料、烟火、火柴等,稳定
575,四氯化硫,None,None,13451-08-6,None,黄褐色液体或气体(在常温下),None,-30,-15(分解),None,None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,None,None,None
576,氯酸铊,None,None,13453-30-0,None,白色针状结晶或粉末。,None,None,None,5.047(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,微溶于水，易溶于热水。,None,None
577,碘酸氢钾,KH(IO3)2,389.94,13455-24-8,碘酸氢钾,无色菱形或单斜形结晶,无意义,无资料,无资料,无资料(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,微溶于冷水，溶于热水，不溶于乙醇,用作标定碱的基准物、氧化剂、制造碘酸钾的中间体,稳定
578,羰基镍,None,None,13463-39-3,None,无色挥发性液体，有煤烟气味。,None,-25,43,1.32(水=1),5.9(空气=1),53.32/25.8℃(kPa),200(约),3.04,None,<4,None,None,2,None,不溶于水，溶于醇等多数有机溶剂。,用于制高纯镍粉，也用于电子工业，及制造塑料中间体，也用作催化剂。,None
579,五羰基铁,None,None,13463-40-6,None,黄色至深红色粘稠液体，遇光分解。,None,-25,103,1.453(25/4℃ )(水=1),6.74(空气=1),5.33(30.3℃)(kPa),285~288,3,None,-15,None,-1620,3.7,12.5,不溶于水，易溶于乙醚、丙酮、苯等多数有机溶剂。,用以制作磁带、腐蚀材料、抗爆剂，用作羰基化和聚合催化剂。,None
580,过氯酸钡,Ba(ClO4)2,336.24,13465-95-7,过氯酸钡,白色粒状粉末，有吸湿性,无意义,505,无资料,2.74～3.2(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、乙醇，溶于甲醇,用作干燥剂及脱水剂，用于制造炸药等,稳定
581,碘酸锶,Sr(IO3)2,437.48,13470-01-4,碘酸锶,白色三斜结晶,无意义,无资料,无资料,5.05(15℃)(水=1),无资料(空气=1),None,None,无意义,无意义,无意义,无意义,None,无意义,无意义,不溶于水,用作试剂,稳定
582,氯酸钡,Ba(ClO3)2,304.24,13477-00-4,氯酸钡,无色棱形结晶或白色粉末,无意义,414(无水),无资料,3.18(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，微溶于乙醇,用作分析试剂，也用于烟花和炸药的制造,稳定
583,氢化钡,BaH2,139.38,13477-09-3,None,灰色结晶。$$相对密度(水=1)：4．21；熔点：675℃(分解)。遇水、潮湿空气及酸类即分解，放出氢气可引起燃烧或爆炸。有毒性和腐蚀性，能灼伤人体皮肤。,None,675℃(分解),None,(水=1)：4．21(水=1),None,None,None,None,None,None,None,None,None,None,None,主要用作有机合成及还原剂。,None
584,高氯酸钙,Ca(ClO4)2,238.98,13477-36-6,高氯酸钙,白色结晶,无意义,270(分解),无资料,2.6(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、乙醇,用作氧化剂,稳定
585,硝酸钇,None,None,13494-98-9,None,无色至粉红色结晶，易潮解。,None,100(-3H2O),None,2.682(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、醇、硝酸。,用作分析试剂。,None
586,"1,2-二乙基苯",C10H14,134.21,135-01-3,"1,2-二乙基苯",无色液体,无资料,-31.2,184,0.88(水=1),4.6(空气=1),1.33(62.8℃)(kPa),394.8,2.88,3.72,57(闭杯),430,None,无资料,无资料,不溶于水，溶于乙醇、苯、乙醚、丙酮等多数有机溶剂,用作溶剂及有机合成中间体,稳定
587,N-苯基-2-萘胺,C16H13N,219.29,135-88-6,N-苯基-2-萘胺,淡灰色针状结晶或粉末，有氨味,无意义,108,395.5,1.23(水=1),无资料(空气=1),None,None,无资料,4.38,无意义,无资料,None,无资料,无资料,不溶于水，溶于乙醇、丙酮、苯,用作橡胶抗氧剂、润滑剂、聚合抑制剂,稳定
588,仲丁基苯,C10H14,134.22,135-98-8,仲丁基苯,无色透明液体,无资料,-82.7,173.5,0.86(水=1),4.62(空气=1),0.13(18.6℃)(kPa),377,3.14,4.57,45,415,None,0.8,6.9,不溶于水，溶于乙醇、乙醚、苯等多数有机溶剂,用作涂料和有机合成溶剂、增塑剂、表面活性剂,稳定
589,硝酸铬,None,None,13548-38-4,None,淡绿色易潮解粉末。,None,60(九水物),None,None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水，溶于乙醇、丙酮，不溶于苯、氯仿、四氯化碳。,用作制铬的催化剂、媒染剂、陶瓷釉彩和腐蚀抑制剂等。,None
590,硝酸铍,Be(NO3)2,133.03,13597-99-4,硝酸铍,白色或微黄色结晶，有潮解性,无意义,60,100～200(分解),1.56(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，易溶于乙醇,用作化学试剂及用于气灯和乙炔灯罩的硬化,稳定
591,亚磷酸,H3O3P,82,13598-36-2,亚磷酸,白色或淡黄色结晶，有蒜味，易潮解,无意义,73～73.8,200(分解),1.65(水=1),无资料(空气=1),None,None,无资料,1.15,无意义,无意义,None,无意义,无意义,易溶于水、乙醇,作为制造塑料稳定剂的原料，也用于合成纤维和亚磷酸盐制造,稳定
592,重氮氨基苯,C6H5N：NNHC6H5,197.24,136-35-6,None,黄色片状晶体或粉末，易溶于苯、醚和热醇，不溶于水。蒸气密度：6.8；熔点：89～99℃；沸点：100℃以上(爆炸)。易燃固体，受热在100℃以上时爆炸，尤其受到强烈震动和高热，更易引起爆炸；有毒，接触皮肤能引起浮肿，粉末侵入眼内能引起角膜发炎。,None,89～99℃,100℃以上(爆炸),6.8(水=1),None,None,None,None,None,None,None,None,None,None,None,主要用于有机合成，染料制造及化学分析试剂等。,None
593,五氟化氯,None,None,13637-63-3,None,无色非易燃性气体，遇潮气产生白色腐蚀性烟雾。,None,-102,-13.9,None,4.5(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,None,用作氟化剂。,None
594,过氯酸铅,Pb(ClO4)2,406.1,13637-76-8,过氯酸铅,白色斜方结晶，有潮解性,无意义,100(分解),无资料,2.6(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于冷水，溶于乙醇,用作涂料中的耐腐蚀颜料，制造蓄电池、化学药品,稳定
595,氰化亚铜(三)钾,None,None,13682-73-0,None,白色结晶或粉末。,None,None,None,None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水。,用于配制和调节镀铜盐浴。,None
596,邻甲苯硫酚,C7H8S,124.21,137-06-4,邻甲苯硫酚,无色液体或片状结晶。,None,10~12,195,1.05(水=1),None,None,None,None,None,63,None,None,None,None,不溶于水，溶于乙醇、乙醚。,用于医药、有机合成。,None
597,邻氨基苯硫醇,None,None,137-07-5,None,淡黄色液体或固体，有恶臭味。,None,23,227.2,1.168(水=1),4.3(空气=1),None,None,None,None,79,None,None,None,None,不溶于水，溶于乙醇、醚。,医药和有机合成用原料。,None
598,福美双,None,None,137-26-8,None,白色或灰白色、有特殊气味、结晶粉末。,None,146-148,None,1.29(水=1),None,None,None,None,None,None,None,None,None,None,不溶于水，不溶于稀碱液、汽油，溶于乙醇、苯、氯仿、二硫化碳等。,"在橡胶工业中用作硫化促进剂、农业上用作杀菌剂和杀虫剂, 也可用作润滑油添加剂等。",None
599,福美锌,None,None,137-30-4,None,白色粉末。,None,240-255,None,1.65-1.74(水=1),None,None,None,None,None,131,810,None,20.8(g/m3),None,不溶于水，不溶于汽油，溶于氯仿、二硫化碳等。,橡胶工业最常用的促进剂。,None
600,溴代环戊烷,None,None,137-43-9,None,"澄清透明液体, 具有甜而芳香的气味。",None,None,137.5,1.39(水=1),5.0(空气=1),None,None,None,None,35,None,None,None,None,不溶于水。,用于有机合成。,None
601,亚硒酸钡,None,None,13718-59-7,None,粉红色粉末。,None,None,None,None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于酸。,玻璃工业中用作去色剂。,None
602,硝酸锆,Zr(NO3)4,339.24,13746-89-9,硝酸锆,"白色板状结晶, 有吸湿性。",None,None,None,1.40(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水，溶于乙醇。,用作防腐剂、试剂及用于锆盐制造。,None
603,硼氢化钾,KBH4,53.94,13762-51-1,None,为白色或棕色结晶块状或粉末状。$$相对密度(水=1)：1．177；熔点：>400℃(分解)。$$本品不吸湿，在空气中稳定，氧化作用较硼氢化钠为弱，与水接触会缓缓散发出氢气，接触酸类，氧化剂即放出氢气，会引起自燃。,None,>400℃(分解),None,(水=1)：1．177(水=1),None,None,None,None,None,None,None,None,None,None,None,主要应用于有机选择性基团的还原反应，用作醛类、酮类和酰 氯类的还原剂。,None
604,碘酸锂,LiIO3,181.84,13765-03-2,碘酸锂,无色有光泽的结晶，有潮解性,无意义,420,无资料,4.50(17℃)(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，不溶于乙醇,用作分析试剂、催化剂、氧化剂,稳定
605,硝酸铟,None,None,13770-61-1,None,"白色片状结晶, 易潮解。",None,100,分解,None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水，溶于醇。,用作氧化剂。,None
606,二氟磷酸[无水],None,None,13779-41-4,None,挥发性无色液体。,None,-75,116,1.583(25/4℃)(水=1),3.52(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水。,用作催化剂。,None
607,亚硫酸氢钙,None,None,13780-03-5,None,无色或微黄色固体或液体，有强烈的二氧化硫气味。,None,None,None,1.06(15℃)(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水、酸。,用作二氧化硫发生剂、还原剂、漂白剂、防腐剂等。,None
608,亚硝酸钙,Ca(NO2)2·H2O,150.1,13780-06-8,亚硝酸钙,无色或微黄色结晶，有潮解性,无意义,100(失结晶水),无资料,2.23(34℃)(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，微溶于乙醇,用于有机合成和医药工业,稳定
609,双戊烯,C10H16,136.26,138-86-3,双戊烯,无色液体，有类似柠檬的香味,无资料,-95.5,175.5～176.5,0.842(水=1),4.66(空气=1),0.13(14℃)(kPa),None,无资料,4.57,45(闭杯),237,-6184.8,0.7,6.1,不溶于水，可混溶于乙醇、乙醚,用作溶剂和用于有机合成,稳定
610,"4-亚硝基-N,N-二甲基苯胺",None,None,138-89-6,None,绿色片状固体。,None,92.5-93.5,None,None,1.15(空气=1),None,None,None,None,None,None,None,None,None,不溶于水，溶于乙醇、乙醚。,用于亚甲蓝制造及有机合成，并用作硫化促进剂。,None
611,氟硼酸铅,None,None,13814-96-5,None,淡黄色液体。,None,None,None,1.5~1.7(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,与水混溶。,用作电解质及用于容器耐酸表面、轴承等耐腐蚀表面处理。,None
612,氯化溴,BrCl,115.36,13863-41-7,氯化溴,红黄色或橘红色挥发性不稳定的液体或气体,无意义,-66,10(分解),无资料(水=1),5.2(25℃)(空气=1),314.95(25℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，溶于乙醚、二硫化碳,用作工业消毒剂和用于有机加成和取代反应,稳定
613,苯酚钠,C6H5NaO,116.09,139-02-6,苯酚钠,白色易潮解的针状结晶,无意义,384,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,-1.17,无意义,无资料,None,无资料,无资料,溶于水、乙醇,用作防腐剂、有机合成中间体，在防毒面具中用以吸收光气,稳定
614,仲丁胺,C4H11N,73.14,13952-84-6,仲丁胺,无色液体，有氨臭。,None,-104.5,62.5,0.72(水=1),2.52(空气=1),22.88(25℃)(kPa),236,4.2,None,-9,None,3008.6,None,None,溶于水、乙醇、乙醚、丙酮。,用作有机合成的中间体、化学试剂。,None
